Product,CAGR,Period,CMGR
Chicory White Endive / 500g,,38,6.5641194305332995
Chilli flakes,,4,31.60740129524924
Chinese Cabbage / 500g,,38,6.246783089404118
Chinese Garlic,,28,9.871876690992565
Chinese Lettuce / per piece,,37,4.9617625443753255
Chinese garlic,,1,
Chinese radish (chemical free),,5,0.0
Chives,,33,7.206235560390661
Chives (chemical free),,5,32.31650197002234
Chives / 100g,,38,4.460370200961572
Chocolate Peanut Butter (extra Protein),,2,22.474487139158896
Chocolate biscuits (Gluten Free - traces of gluten),,5,0.0
Chocolate cake mix (gluten free),,1,0.0
Chocolate chip cookie mix ( gluten free ),,4,9.26831253737026
Chocolate chip cookie mix ( gluten free ) / 453g,,31,11.245979618704304
Chocolate paste with nuts ( gluten free ) - Bio,,21,11.065079861599948
Chocolate paste with nuts and carob ( gluten free ) - Bio,,19,11.595081884434123
Cilantro,,31,11.85676345954716
Cinnamon Raisin Almond Butter,,2,91.48542155126762
Cinnamon Raisin Peanut Butter,,1,0.0
Cinnamon raisin granola / 340g,,33,5.594852956036855
Cinnamon raisins bread mix (gluten free),,2,15.470053837925146
Cioccolini ( gluten free ),,17,9.474775208580443
Cioccolini ( gluten free ) / Default,,6,0.0
Citrus Flower Honey / 450g,,37,12.419312637976908
Clementina,,11,6.504108943996267
Clemontene,,34,11.47584433308535
Cloves,,20,11.6370679300291
Cloves powder,,26,0.0
Coconut fine macaroon (unsweetened),,2,32.287565553229534
Coconut flour,,13,12.26570719251432
Coconut flour (Organic),,5,45.939077901513144
Coconut milk,,20,8.579517014283343
Coconut milk Light,,20,10.218602968785028
Coconut oil,,16,12.93241814724655
Coconut oil ( Small glass jar ),,13,27.663257607678958
Coconut oil (organic) - for cooking,,14,24.94518958610179
Coconut oil (skin & hair),,10,0.0
Coconut oil large (organic) - for cooking,,5,0.0
Coconut oil soap,,5,14.869835499703509
Coconut palm Sugar / 454g,,33,9.652970276983153
Coconut scrub,,15,4.729412282062673
Coffee & Vanilla body scrub,,14,8.359121199700038
Coffee beans body scrub,,16,4.4273782427413755
Color beets (chemical free),,4,0.0
Colored French Lettuce / per piece,,38,4.734607706713656
Colored beet,,33,3.1602842658121855
Colored bell pepper,,33,9.971114456722653
Colored bell pepper ( Chemical free ),,19,26.682315095103725
Colored bell pepper (Chemical free),,5,25.825336604246708
Colored french lettuce,,34,12.986952379864203
Colored tomato (chemical free),,5,12.908649728332477
Colored tomatoes,,34,10.296941945529658
Conditioner with tea tree oil / 473ml,,33,6.290674968539878
Cookies with wheat germ,,17,21.689850740547367
Cooking oat ( gluten free ),,16,14.74512450568579
Coriander ( Chmeical free ),,13,5.476607648164666
Coriander ( chemical free ),,19,5.832423064179282
Coriander (chemical free),,5,14.266810914837013
Coriander(chemical free),,12,6.400139950796735
Corn flakes ( gluten free ) / Default,,17,7.8852383258946945
Corn on the cob,,18,0.0
Cour Di Riso Cacao gluten free,,22,4.252909035790653
Couscous,,20,3.5264923841377582
Couscous (golden),,5,14.869835499703509
Cow milk (chemical free) - frozen,,5,0.0
Crackers,,25,7.430117322085517
Cranberry juice,,20,13.48991961691437
Cranberry juice powder,,32,9.851793654985585
