Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Beef mince (chemical free) - frozen,151007,,,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,220.000000,1320.000000,55.000000,1155.000000,1870.000000,1521.110656,1629.712303,220.000000,7990.822958,5699.540000,2291.282958,0.286739,0.000000
Apple cider vinegar ( organic ),281052,,,Hv,Vinegar,Vinegar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1890.000000,560.000000,486.527580,1190.000000,980.000000,1347.961265,1271.987761,240.969290,7967.445895,5643.750000,2323.695895,0.291649,0.000000
Top side steak (chemical free) - frozen,151012,,,El rancho,Beef,"Frozen, Chemical free, Beef",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2726.000000,1092.000000,682.000000,310.000000,744.000000,1426.000000,633.385472,0.000000,7613.385472,5472.600000,2140.785472,0.281187,0.000000
Raw honey (organic),461040,,,Sara nour,Honey,"Organic, honey",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,277.100000,384.000000,960.000000,1248.000000,1147.200000,2895.904781,96.000000,7008.204781,5180.000000,1828.204781,0.260866,0.000000
Baby spinach (chemical free),341004,,,MAKAR,Vegetables,"Fresh, Chemical free",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,928.000000,360.000000,400.000000,1107.882353,1016.000000,1732.869589,1151.448163,56.000000,6768.200104,4255.000000,2513.200104,0.371325,0.000000
Chicken cutlets (Shishtawook) - frozen,80002,,,Butcher,Poultry,Frozen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1674.000000,1346.400000,990.000000,268.000000,201.000000,1139.000000,737.000000,120.814058,6476.214058,4969.100000,1507.114058,0.232715,0.000000
Raw cashew nut / 250g,Cashewnutraw,,NGS,Auf,Nuts,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.200000,239.400000,399.000000,210.000000,280.000000,420.000000,385.000000,385.000000,70.000000,350.000000,175.000000,455.000000,140.000000,187.500000,150.000000,150.000000,75.000000,118.000000,147.000000,67.000000,268.000000,538.500000,402.000000,371.000000,342.000000,76.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6453.600000,4621.950000,1831.650000,0.283818,0.000000
Quinoa (Chemical free) - Local,621001,,,EGY VEGGIE,Grains,"Organic, Whole grain, High performance, super foods",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.000000,1178.520000,336.000000,252.000000,2146.200000,837.000000,1089.000000,357.000000,6321.720000,4860.000000,1461.720000,0.231222,0.000000
Stevia,281043,,,Hv,Sweeteners,"Weight loss, Sweeteners",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1260.000000,780.000000,240.000000,960.000000,540.000000,1800.000000,0.000000,325.000000,5905.000000,4461.750000,1443.250000,0.244412,0.000000
Brown rice ( Egyptian ) / 750g,PremiumBrownRice,,Kheir Misr,IMN,Rice,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,208.000000,145.600000,166.400000,72.800000,208.000000,234.650000,98.800000,49.400000,123.500000,37.050000,98.800000,37.050000,111.150000,209.950000,160.550000,148.200000,86.100000,336.000000,432.000000,600.000000,419.000000,441.000000,555.850000,600.000000,191.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5771.350000,4199.990000,1571.360000,0.272269,0.000000
