Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,Average Revenue,Average Gross Profit,% Variation from Average,%Total Gross Profit
AUBERGENE (ROUMY),NGS,Fresh vegetables,28.0,4.0,7.777948862293349,23.0,0.0012437708002040796,1214.2495321019405,308.7999375010789,-97.69404893642164,0.0006986715478596342
AUBERGENE (ROUMY) - CHEMICAL FREE,NGS,Fresh vegetables,445.0,98.88,15.920053301690885,21.0,0.01976707164610055,1214.2495321019405,308.7999375010789,-63.35184916812958,0.017271160663090156
AUBERGENE (ROUMY) - ORGANIC,0,Vegetables,694.0983610000001,313.098361,50.847315059498754,12.0,0.030832116924332503,1214.2495321019405,308.7999375010789,-42.83725522228754,0.054688229128046134
AUBERGINE (ROUMY),Kheir Misr,Fresh vegetables,245.03795499999998,42.167955,10.905789766165586,40.0,0.010884680477525756,1214.2495321019405,308.7999375010789,-79.81980239466724,0.007365387597481351
AUBERGINE AROUS BLACK,NGS,Fresh vegetables,21.0,3.2,1.4736758555106588,23.0,0.0009328281001530596,1214.2495321019405,308.7999375010789,-98.27053670231624,0.0005589372382877074
AUBERGINE AROUS WHITE,NGS,Fresh vegetables,13.25,3.25,3.320979735082097,23.0,0.000588570110810859,1214.2495321019405,308.7999375010789,-98.90879101455667,0.0005676706326359528
AUSTRALIAN BEEF FILLET,NGS,Australian beef,250.0,110.0,0.0,39.0,0.011105096430393566,1214.2495321019405,308.7999375010789,-79.41115121805034,0.019213467566139942
AUSTRALIAN BEEF RIB EYE,NGS,Australian beef,54.0,36.5,0.0,35.0,0.0023987008289650105,1214.2495321019405,308.7999375010789,-95.55280866309887,0.006375377874219162
AUSTRALIAN BEEF STEAK,NGS,Australian beef,132.0,76.0,1.1652080087522387,35.0,0.005863490915247804,1214.2495321019405,308.7999375010789,-89.12908784313058,0.01327475940933305
AVOCADO,Kheir Misr,Fresh fruits,12049.565673000001,1954.455673,9.277739792043915,40.0,0.5352463549721006,1214.2495321019405,308.7999375010789,892.3467421182745,0.34138064256948825
AVOCADO,NGS,Fresh Produce,1568.64,261.44,4.610104367708523,45.0,0.06967959385829026,1214.2495321019405,308.7999375010789,29.185967013270155,0.045665172368105696
AVOCADOES ( IMPORTED ),NGS,Fresh fruits,9742.3,2284.5,17.08303955064796,23.0,0.43275672381529295,1214.2495321019405,308.7999375010789,702.3309659535531,0.3990287877713336
AVOCADOS,NGS,General,703.729488,261.359488,0.0,5.0,0.031259935300605966,1214.2495321019405,308.7999375010789,-42.04407995267653,0.04565110950719037
AVOCADOS (IMPORTED),NGS,Fruits,11108.823921,3238.103921,13.954926439035752,11.0,0.493458243483871,1214.2495321019405,308.7999375010789,814.8715834190969,0.5655927696538552
AZUKI BEANS,0,Grains,132.0,30.75,24.57309396155174,5.0,0.005863490915247804,1214.2495321019405,308.7999375010789,-89.12908784313058,0.005371037524170938
BABY BLACK AUBERGENE,NGS,Fresh vegetables,100.0,34.67,4.688023497686555,20.0,0.004442038572157427,1214.2495321019405,308.7999375010789,-91.76446048722013,0.00605573564107338
BABY BLACK AUBERGENE (CHEMICAL FREE),0,Vegetables,30.0,10.0,0.0,10.0,0.001332611571647228,1214.2495321019405,308.7999375010789,-97.52933814616604,0.0017466788696490856
BABY BLACK AUBERGINE (CHEMICAL FREE) - ROUND,0,Vegetables,32.0,12.0,7.177346253629313,10.0,0.0014214523430903766,1214.2495321019405,308.7999375010789,-97.36462735591044,0.0020960146435789026
BABY BLACK AUBERGINE (ROUND),NGS,Fresh vegetables,350.0,146.04,16.716805682627147,23.0,0.015547135002550994,1214.2495321019405,308.7999375010789,-71.17561170527046,0.025508498212355245
BABY CARROT,NGS,Vegetables,40.0,33.48,10.717317888991108,9.0,0.0017768154288629707,1214.2495321019405,308.7999375010789,-96.70578419488805,0.005847880855585137
BABY CARROTS (CHEMICAL FREE),0,Chemical free vegetables,68.85,13.77,3.14196355915628,19.0,0.003058343556930388,1214.2495321019405,308.7999375010789,-94.32983104545106,0.002405176803506791
BABY CARROTS - CHEMICAL FREE / 500G,Kheir Misr,Fresh Produce,5.85,1.35,0.0,45.0,0.0002598592564712095,1214.2495321019405,308.7999375010789,-99.51822093850238,0.00023580164740262654
BABY CHERRY CARROTS,NGS,Fresh vegetables,18.75,3.75,0.0,24.0,0.0008328822322795175,1214.2495321019405,308.7999375010789,-98.45583634135377,0.000655004576118407
BABY CORN,NGS,Chemical free vegetables,297.22,60.35,5.289137110672049,22.0,0.013202627044166306,1214.2495321019405,308.7999375010789,-75.52232946011567,0.010541206978332232
BABY FRENCH BEANS,Kheir Misr,Fresh vegetables,1051.57,284.92,3.5026421992984336,39.0,0.04671114501323585,1214.2495321019405,308.7999375010789,-13.397537145460731,0.04976637435404174
BABY FRENCH SPINACH,Kheir Misr,Fresh vegetables,573.0,130.32,8.51566925618721,40.0,0.025452881018462055,1214.2495321019405,308.7999375010789,-52.81035859177135,0.02276271902926688
BABY KALE,0,Fresh vegetables,338.8,109.78,3.955725645487873,39.0,0.015049626682469362,1214.2495321019405,308.7999375010789,-72.09799213070181,0.01917504063100766
BABY LEAF LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,60.0,12.0,5.946309435929531,24.0,0.002665223143294456,1214.2495321019405,308.7999375010789,-95.05867629233208,0.0020960146435789026
BABY ONIONS,NGS,Fresh vegetables,169.25,45.0,8.863769177242254,23.0,0.007518150283376445,1214.2495321019405,308.7999375010789,-86.06134937462008,0.007860054913420886
BABY ONIONS,NGS,Vegetables,20.0,-0.6,2.256518256357287,10.0,0.0008884077144314853,1214.2495321019405,308.7999375010789,-98.35289209744403,-0.00010480073217894513
BABY PEARS,NGS,Fruits,182.0,52.0,0.0,5.0,0.008084510201326516,1214.2495321019405,308.7999375010789,-85.01131808674064,0.009082730122175245
BABY POTATOES,0,Vegetables,26.0,13.0,0.0,11.0,0.001154930028760931,1214.2495321019405,308.7999375010789,-97.85875972667723,0.002270682530543811
BABY POTATOES ( CHEMICAL FREE ),NGS,Fresh vegetables,194.35,47.95,2.443569971171411,19.0,0.008633101964987958,1214.2495321019405,308.7999375010789,-83.99422895691232,0.008375325179967365
BABY POTATOES (CHEMICAL FREE),0,Vegetables,262.75,72.93,2.1581174214417853,11.0,0.011671456348343639,1214.2495321019405,308.7999375010789,-78.3611199301709,0.012738528996350782
BABY POTATOES / DEFAULT,NGS,Fresh vegetables,156.0,58.5,9.341926595779038,23.0,0.006929580172565585,1214.2495321019405,308.7999375010789,-87.15255836006341,0.010218071387447151
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,2.8570059437402318,39.0,0.008003665099313252,1214.2495321019405,308.7999375010789,-85.16120490587322,0.008981422747735598
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,6.351844321713185,19.0,0.0006440955929628269,1214.2495321019405,308.7999375010789,-98.80584677064692,0.0005257503397643748
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,16.36845432875105,24.0,0.16889963262914184,1214.2495321019405,308.7999375010789,213.139918894429,0.19843145298648437
