Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Item Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Unsweetened almond milk,281046,,,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,102,18,226,7781.25,6018.25,1763,0.22657,0
Cairo above 150 L.E orders,Cairoabove150LEorders,,Freight,Freight,General,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,447,206,81,750,7728.244205,0,7728.244205,1,0
Chicken Breasts,ChickenBreasts,,Kheir Misr,Meat & More,Fresh Beef & Poultry,,0,0,0,30,15,41,46,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,7700.4,6150,1550.4,0.20134,0
Oat milk ( organic ),065702PacificOrg,,Pacific Natural Foods,HV,Non-dairy milk,,0,0,0,0,0,0,0,0,0,25,13,18,23,21,22,1,4,22,26,12,6,1,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,7588.75,6125.95,1462.8,0.192759,0
Beef cubes (chemical free) - frozen,Beefcubeschemicalfree-frozen,,NGS,Assiut farmers,Chemical free beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,15,10,21,43,23,0,0,0,0,0,0,0,147,7580,5176,2404,0.31715,0
chia seeds,chiaseeds,,,Auf,Seeds,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,28,18,15,6,0,0,0,0,0,0,0,91,7483.4675,6563.44,920.0275,0.122941,0
Beef fillet (chemical free) - frozen,151003,,,El rancho,Beef,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,17,26,71,6633.361809,4855.5,1777.861809,0.268018,0
Whey protein,1289C124,,Bob's Red Mill,HV,Food supplements,,0,0,0,0,0,0,0,0,1,3,1,1,3,5,1,2,0,1,5,3,1,1,4,1,1,0,0,0,0,4,2,6,4,0,0,0,0,0,0,0,50,6597.85,5433.52,1164.33,0.176471,0
Maple syrup (organic),281102,,,HV,Sweeteners,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,20,2,69,6591.098412,4916.25,1674.848412,0.254108,0
Raw cashew nut,Cashewnutraw,,NGS,Auf,Nuts,,0,0,0,0,0,0,0,0,2,9,15,6,8,12,11,11,2,10,5,13,4,5,4,4,2,3,4,2,8,15,12,10,9,2,0,0,0,0,0,0,188,6453.6,4621.95,1831.65,0.283818,0
