Product,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Revenue
BALADYWHOLECHICKENCHEMICALFREEDEFAULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,-1.0,17.0,2877.5
GREENAPPLESFRENCHIMPORTED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.0,10.0,16.0,13.0,6.0,6.0,2.0,0.0,0.0,0.0,26.0,5.0,2.0,2823.4248740000007
ORANGES,0.0,0.0,0.0,0.0,2.0,7.0,3.0,13.0,12.0,11.0,18.0,4.0,6.0,12.0,8.0,11.0,7.0,5.0,10.0,25.0,20.0,8.0,7.0,1.0,6.0,10.0,11.0,10.0,15.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,2811.48
SPIRULINAPOWDERORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,1.0,2767.994
RASPBERRIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,4.0,2.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2758.0
BABYSPINACHCHEMICALFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,17.0,6.0,0.0,0.0,2.0,116.0,45.0,50.0,2753.75
POTATOESCHEMICALFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,20.0,7.0,25.0,20.0,7.0,31.0,35.0,10.0,0.0,0.0,3.0,29.0,43.0,26.0,2750.0
LOLLAROSSA,0.0,0.0,0.0,0.0,2.0,19.0,11.0,32.0,22.0,19.0,13.0,17.0,5.0,14.0,7.0,10.0,4.0,4.0,9.0,2.0,3.0,25.0,20.0,23.0,11.0,18.0,17.0,23.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2722.59
BALADYRAWHONEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,16.0,44.0,16.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2708.0
TURKEYFEMALE,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,3.0,7.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
AMERICANREDAPPLES,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,3.0,1.0,10.0,6.0,1.0,5.0,4.0,2.0,7.0,7.0,4.0,13.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.25
FLAXSEEDSEGYPTIAN250G,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,4.0,6.0,5.0,4.0,0.0,4.0,2.0,4.0,0.0,7.0,2.0,8.0,3.0,3.0,6.0,8.0,15.0,8.0,5.0,21.0,12.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2546.0
PROBIOTICS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0
ORGANICBROWNRICEELBOWPASTA340G,0.0,0.0,0.0,0.0,1.0,5.0,1.0,7.0,2.0,6.0,4.0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2436.15
REDQUINOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2434.0
LIMECHEMICALFREE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,10.0,13.0,7.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,25.0,8.0,0.0,2420.2
SOYLECITIHINGRANULES453G,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.1
