Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015
Chemical free lamb leg,Chemicalfreelambleg,,NGS,Obayed butcher,Fresh Beef & Poultry,new,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6
Premium French Sea Salt / 367g,105365,,Eden,Health Harvest,Condiments,,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43,42.43
Organic kukicha twig tea (loose) / 49g,110665,,"Eden Foods, Inc.",HV,Herbal Drinks,,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
Almond milk ( organic ),Originalalmondmilk,,Alpro,El_Ansary,Non-dairy milk,,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779,9.777777777777779
Nutrition bar with fig and cinnamon (natural) - raw,631004,,,Proten nutrition,Snacks,"Super food, High performance",20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,7.85046725
Dried Mushroom (chemical free),351013,,,Minnie's,Vegetables,"Dried, Chemical free",35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Dried prunes (chemical free),351017,,,Minnie's,Dried fruits,"Dried fruits, Chemical free",42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Dried soup mix (chemical free),351018,,,Minnie's,Vegetables,"Dried, Chemical free",30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Essiac tea,281054,,,HV,Herbs,,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
Green cabbage,Greencabbage,,Kheir Misr,Rafic,Fresh vegetables,,11.9,11.9,11.9,11.9,11.9,11.01,10.12,10.12,10.12,10.16,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Yellow cherry tomatoes,Yellowcherrytomatoes,,Kheir Misr,Rafic,Fresh vegetables,,11.99,11.99,11.99,11.99,11.99,11.99,11.99,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39,14.39
Tea Tree Therapy Antiseptic Cream,TeaTreeTherapyAntisepticCream,,Tea Tree Therapy,Health Harvest,Cosmetics,,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67,34.67
Yellow apples,20036,,,Agrovate,Fruits,Fresh,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Beef mince (chemical free) - frozen,Beefmince,,,El rancho,Chemical free beef,,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Green asparagus (chemical free),341016,,,MAKAR,Vegetables,"Fresh, Chemical free",16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
