Product,Brand,Type,Date,Revenue,Gross Profit,CMGR,Average Revenue,Average Gross Profit,%Total Revenue,% Variation from Average,%Total Gross Profit
BEETROOT,NGS,Fresh vegetables,2014-10-01,92.0,28.75,14.490923569598225,27.596580275056393,7.018180397764071,0.0040866754863830125,233.37463947718064,0.005021701750232336
BEETROOT,NGS,Fresh vegetables,2014-11-01,5.0,2.25,14.490923569598225,27.596580275056393,7.018180397764071,0.00022210192860777243,-81.88181307189237,0.0003930027456703568
BEETROOT,NGS,General,2015-11-01,61.899072,50.899072,0.0,27.596580275056393,7.018180397764071,0.002749580654046273,124.29979143447878,0.00889043335469919
BEETROOT (CHEMICAL FREE),0,Vegetables,2015-05-01,71.5,16.25,24.88735676526124,27.596580275056393,7.018180397764071,0.0031760575790911456,159.09007307193932,0.002838353163174799
BEETROOT (CHEMICAL FREE),0,Vegetables,2015-09-01,72.0,27.0,24.88735676526124,27.596580275056393,7.018180397764071,0.003198267771951923,160.90189176475008,0.004716032948044281
BEETROOT (CHEMICAL FREE),0,Vegetables,2015-10-01,191.2,89.2,24.88735676526124,27.596580275056393,7.018180397764071,0.008493177749961217,592.8394681308363,0.015580375517242588
BEETROOT (CHEMICAL FREE),0,Vegetables,2015-11-01,413.455677,167.255677,24.88735676526124,27.596580275056393,7.018180397764071,0.018365860651106444,1398.2134484746591,0.029214195684424148
BEETROOT (CHEMICAL FREE),0,Vegetables,2015-12-01,76.0,26.0,24.88735676526124,27.596580275056393,7.018180397764071,0.003375949314838141,175.3964413072362,0.004541365061079678
BEETROOT(CHEMICAL FREE),0,Chemical free vegetables,2014-10-01,71.5,16.25,9.066549639895838,27.596580275056393,7.018180397764071,0.0031760575790911456,159.09007307193932,0.002838353163174799
BEETROOT(CHEMICAL FREE),0,Chemical free vegetables,2014-11-01,165.0,37.5,9.066549639895838,27.596580275056393,7.018180397764071,0.00732936364405649,497.9001686275522,0.006550045761172613
BEETROOT(CHEMICAL FREE),0,Chemical free vegetables,2014-12-01,55.0,12.5,9.066549639895838,27.596580275056393,7.018180397764071,0.0024431212146854967,99.30005620918408,0.0021833485870575375
BEETROOT(CHEMICAL FREE),0,Chemical free vegetables,2015-01-01,49.5,11.25,9.066549639895838,27.596580275056393,7.018180397764071,0.002198809093216947,79.37005058826567,0.0019650137283517837
BEGAWI EGGS ( CHEMICAL FREE ),NGS,Eggs,2014-08-01,20.0,3.3,21.08508034342973,27.596580275056393,7.018180397764071,0.0008884077144310897,-27.527252287569425,0.0005764040269831899
BEGAWI EGGS ( CHEMICAL FREE ),NGS,Eggs,2014-09-01,458.0,73.9,21.08508034342973,27.596580275056393,7.018180397764071,0.020344536660471955,1559.62592261466,0.012907956846684164
BEGAWI EGGS ( CHEMICAL FREE ),NGS,Eggs,2014-10-01,440.0,72.6,21.08508034342973,27.596580275056393,7.018180397764071,0.019544969717483974,1494.4004496734726,0.012680888593630176
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-04-01,192.0,127.44,42.13033550293375,27.596580275056393,7.018180397764071,0.00852871405853846,595.7383780393335,0.022259675514769005
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-05-01,4021.12,1500.79,42.13033550293375,27.596580275056393,7.018180397764071,0.17861970143265718,14471.08076407044,0.26213981807760656
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-06-01,5845.44,2338.23,42.13033550293375,27.596580275056393,7.018180397764071,0.25965669951220344,21081.75491940751,0.4084136933372437
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-07-01,1762.3995940000002,529.489594,42.13033550293375,27.596580275056393,7.018180397764071,0.07828646976099103,6286.297057222604,0.09248482855372553
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-08-01,915.0,460.14,42.13033550293375,27.596580275056393,7.018180397764071,0.040644652935222354,3215.6282078436993,0.08037168150789242
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0,Cereal,2015-09-01,312.0,156.39,42.13033550293375,27.596580275056393,7.018180397764071,0.013859160345124999,1030.574864313917,0.027316310842394262
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-05-01,320.0,68.36,5.078827542704278,27.596580275056393,7.018180397764071,0.014214523430897436,1059.5639633988892,0.01194029675290026
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-06-01,280.0,54.04,5.078827542704278,27.596580275056393,7.018180397764071,0.012437708002035256,914.618467974028,0.009439052611567146
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-07-01,120.0,23.16,5.078827542704278,27.596580275056393,7.018180397764071,0.005330446286586538,334.8364862745834,0.004045308262100205
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,2014-08-01,80.0,15.44,5.078827542704278,27.596580275056393,7.018180397764071,0.003553630857724359,189.8909908497223,0.00269687217473347
